genoSize,nCouples,nProgeny,simTime
2500,10,17,1.43849539756775
2500,10,17,1.47168588638306
2500,10,10,1.5553252696991
2500,10,13,1.80315256118774
2500,10,10,1.95473551750183
5000,10,13,2.01634407043457
2500,10,13,2.04866099357605
5000,10,13,2.15990924835205
2500,10,13,2.19299030303955
2500,10,20,2.22854113578796
2500,40,13,2.23195457458496
2500,10,10,2.26561093330383
2500,10,10,2.30473780632019
2500,10,13,2.40435242652893
2500,10,17,2.49356555938721
2500,10,20,2.5589005947113
2500,10,17,2.73677706718445
2500,10,20,2.74722528457642
2500,10,20,2.98948431015015
5000,10,13,2.99173879623413
7500,10,13,3.09310007095337
5000,10,10,3.09965848922729
5000,10,10,3.19074296951294
2500,40,10,3.2783260345459
10000,10,17,3.3099160194397
2500,40,10,3.38216161727905
2500,40,10,3.4395067691803
5000,10,20,3.46729731559753
2500,40,10,3.51561689376831
5000,10,17,3.51601028442383
5000,10,17,3.6461181640625
5000,10,17,3.69281554222107
5000,10,17,3.82311034202576
5000,10,13,3.87067842483521
5000,10,10,3.91334986686707
7500,10,10,3.93482160568237
2500,40,13,4.00227665901184
5000,10,20,4.03841805458069
5000,10,10,4.04317045211792
2500,40,13,4.06562852859497
7500,10,10,4.13566136360168
5000,10,20,4.17591595649719
5000,10,20,4.1912043094635
2500,40,13,4.19997525215149
2500,40,17,4.27760338783264
7500,10,10,4.42742681503296
7500,10,17,4.49597144126892
2500,40,17,4.65227365493774
2500,70,13,4.7049868106842
2500,70,10,4.76120734214783
7500,10,20,4.83673143386841
7500,10,10,4.88173532485962
5000,40,10,4.88231039047241
2500,40,20,4.99258399009705
10000,10,10,5.00384569168091
7500,40,13,5.01180458068848
2500,40,20,5.0196168422699
2500,70,10,5.02965116500854
5000,40,10,5.03900551795959
7500,10,20,5.06634497642517
7500,10,17,5.09422278404236
7500,10,13,5.10117292404175
10000,10,10,5.11757254600525
10000,10,13,5.1208484172821
7500,10,17,5.14002966880798
7500,10,13,5.14421582221985
7500,10,20,5.2086386680603
7500,10,17,5.20954990386963
2500,40,17,5.25098395347595
10000,10,10,5.26431155204773
2500,40,17,5.29606747627258
10000,10,10,5.34165740013123
2500,40,20,5.35481142997742
2500,70,10,5.37058568000793
7500,10,13,5.37123417854309
5000,40,10,5.47486567497253
2500,70,13,5.58262014389038
5000,40,13,5.64184212684631
7500,10,20,5.78920745849609
2500,40,20,5.82285523414612
2500,70,13,5.83048939704895
7500,40,17,5.90278339385986
5000,40,13,5.93235492706299
10000,10,13,5.9495108127594
2500,70,10,5.97591161727905
2500,70,13,6.02491760253906
10000,10,13,6.08210301399231
2500,100,10,6.09132242202759
5000,40,10,6.131831407547
10000,10,20,6.20959973335266
7500,40,17,6.22043037414551
5000,40,17,6.27273678779602
10000,10,17,6.29597306251526
5000,40,13,6.34732174873352
10000,10,13,6.34782886505127
7500,70,10,6.36901092529297
5000,40,17,6.38008451461792
2500,100,10,6.40369772911072
2500,100,10,6.50132012367249
5000,40,13,6.50938582420349
5000,70,10,6.57471179962158
5000,40,17,6.5836501121521
10000,10,20,6.6665370464325
10000,10,17,6.70524072647095
10000,10,20,6.72116374969482
10000,10,17,6.7896785736084
2500,70,17,6.82997798919678
7500,40,10,6.83071041107178
7500,40,20,6.93514561653137
2500,100,20,6.95585703849792
5000,100,13,7.03239059448242
5000,70,10,7.08789920806885
2500,100,13,7.12604975700378
5000,70,10,7.13244032859802
7500,40,10,7.1332368850708
7500,40,10,7.14113426208496
10000,10,20,7.16297769546509
5000,40,20,7.17022800445557
10000,40,17,7.18007826805115
2500,100,10,7.24417471885681
7500,70,10,7.25778245925903
5000,40,17,7.27232003211975
10000,40,17,7.27319526672363
2500,100,13,7.31473660469055
2500,70,17,7.34845089912415
2500,70,17,7.35411143302917
10000,40,10,7.37319850921631
2500,70,17,7.38572335243225
5000,70,10,7.39415454864502
2500,100,13,7.49509263038635
2500,70,20,7.49538516998291
7500,40,10,7.50303149223328
5000,40,20,7.55846858024597
7500,40,13,7.73127484321594
5000,40,20,7.73973226547241
5000,40,20,7.81417870521545
2500,100,13,8.03335428237915
7500,40,13,8.06566143035889
10000,40,10,8.15250110626221
2500,70,20,8.30514097213745
2500,70,20,8.38518309593201
10000,40,10,8.43689465522766
10000,40,13,8.46840000152588
10000,40,13,8.46989011764526
5000,100,17,8.54655361175537
5000,70,13,8.68914246559143
10000,40,13,8.69466972351074
7500,40,13,8.82735538482666
5000,70,13,8.83941459655762
5000,70,13,9.07464575767517
7500,40,17,9.12628173828125
5000,70,13,9.20780038833618
10000,40,10,9.24615693092346
5000,100,10,9.27084469795227
2500,70,20,9.30725002288818
5000,100,10,9.32507658004761
2500,100,17,9.3942174911499
7500,40,20,9.65126776695251
7500,40,17,9.7928740978241
5000,100,10,9.83142352104187
5000,70,17,10.0284039974213
7500,70,10,10.0606808662415
5000,70,17,10.2333838939667
7500,70,13,10.2934942245483
2500,100,17,10.5456328392029
5000,70,17,10.6629621982574
5000,100,10,10.878829240799
2500,100,17,10.9384753704071
10000,40,13,10.9753444194794
2500,100,17,10.9856038093567
7500,70,10,10.9949615001678
5000,70,17,11.0234439373016
2500,100,20,11.0758416652679
7500,40,20,11.1588582992554
10000,40,17,11.1886260509491
7500,70,13,11.1926701068878
5000,100,13,11.3095118999481
10000,70,10,11.4231932163239
10000,100,10,11.4241173267365
10000,100,10,11.4583837985992
2500,100,20,11.6026210784912
10000,40,20,11.7166485786438
10000,40,20,11.7912316322327
10000,40,17,11.8267724514008
5000,70,20,11.8622386455536
5000,100,13,11.9688174724579
7500,70,13,12.0161190032959
5000,100,13,12.0326545238495
2500,100,20,12.3118078708649
10000,70,10,12.3841757774353
7500,70,13,12.4078898429871
7500,40,20,12.5661227703094
5000,70,20,12.7180721759796
10000,70,10,12.8366916179657
7500,70,17,12.9043035507202
10000,40,20,12.9562165737152
5000,70,20,13.0190804004669
5000,100,20,13.1136944293976
7500,100,10,13.2283272743225
10000,70,10,13.2521486282349
10000,100,10,13.2775478363037
5000,70,20,13.5389213562012
7500,70,17,13.6274797916412
10000,70,17,13.869398355484
10000,70,13,13.8714923858643
7500,100,10,14.0445861816406
10000,70,13,14.0909259319305
7500,100,10,14.1248562335968
7500,100,10,14.3912279605865
10000,40,20,14.4475650787354
7500,70,17,14.7580590248108
7500,70,17,15.0110716819763
10000,70,13,15.1108291149139
7500,100,13,15.1567361354828
5000,100,17,15.3246810436249
7500,100,13,15.6276013851166
10000,100,10,15.6936206817627
5000,100,17,15.9266905784607
5000,100,20,16.3813679218292
7500,70,20,16.5171427726746
7500,100,13,16.5199687480927
10000,70,13,16.6284165382385
5000,100,17,17.0166411399841
5000,100,20,17.0950870513916
7500,70,20,17.5296366214752
10000,70,17,17.5309484004974
7500,70,20,17.7570247650146
7500,100,13,17.8313553333282
10000,70,17,17.9258639812469
10000,70,20,18.0654275417328
5000,100,20,18.2799439430237
10000,70,17,18.4363453388214
10000,100,17,18.6099009513855
7500,70,20,18.6956713199615
10000,100,13,18.7766351699829
10000,100,13,18.926557302475
7500,100,17,19.0702469348907
10000,100,13,19.6103496551514
10000,70,20,19.7907047271729
10000,100,13,20.2087914943695
7500,100,17,20.7092018127441
7500,100,17,20.8753862380981
7500,100,17,21.378630399704
10000,70,20,21.3903782367706
7500,100,20,21.4600811004639
10000,70,20,22.0621447563171
7500,100,20,22.1619050502777
7500,100,20,23.6002128124237
10000,100,17,24.6290082931519
7500,100,20,25.0357205867767
10000,100,17,26.0105319023132
10000,100,17,26.0342531204224
10000,100,20,27.5951268672943
10000,100,20,27.940235376358
10000,100,20,28.2627220153809
10000,100,20,31.1399638652802
